AFFGEOID,County Name,Total Pop,Total Pop Under 18,Pct_Below_Poverty,Pct_Below_Poverty_U18,Pct_Below_Poverty_65Over,Pct_Below_Poverty_Male,Pct_Below_Poverty_Female
0500000US17201,"Winnebago County, Illinois",278298,64798,15.6,22.3,10.2,14.7,16.6
0500000US18003,"Allen County, Indiana",385067,97081,11.1,13.5,8.4,10,12.2
0500000US18005,"Bartholomew County, Indiana",82632,19786,15.9,15.8,13,14.1,17.7
0500000US18011,"Boone County, Indiana",72934,17443,4,2,3.8,3.3,4.7
0500000US18019,"Clark County, Indiana",122780,26774,8.9,12,6.3,10.1,7.7
0500000US18035,"Delaware County, Indiana",103840,19364,18.8,18.9,9.4,16.3,21.2
0500000US18039,"Elkhart County, Indiana",203933,54655,14.9,20.9,12.2,12.3,17.4
0500000US18043,"Floyd County, Indiana",79234,17843,9.6,13.8,7.4,8.4,10.8
0500000US18053,"Grant County, Indiana",60255,13312,20.3,34.6,8.5,22.9,17.6
0500000US18057,"Hamilton County, Indiana",362371,91064,4.6,4.1,4.2,3.6,5.7
0500000US18059,"Hancock County, Indiana",82046,18715,4.1,1.1,7.5,2.3,5.8
0500000US18063,"Hendricks County, Indiana",175858,43879,5.2,5.3,8.3,5.1,5.2
0500000US18067,"Howard County, Indiana",82472,18648,16.6,24.6,8.9,17.2,16
0500000US18081,"Johnson County, Indiana",162748,39814,6.9,8.2,5.1,6.1,7.7
0500000US18085,"Kosciusko County, Indiana",79324,18537,12.6,16.6,13.1,11.3,14
0500000US18089,"Lake County, Indiana",492768,112335,14.4,20.8,11,12.3,16.3
0500000US18091,"LaPorte County, Indiana",104916,23213,15.9,23.5,11.3,13.8,18
0500000US18095,"Madison County, Indiana",127103,27677,14.9,20.7,12.9,13.4,16.3
0500000US18097,"Marion County, Indiana",951702,233710,15.4,21.1,10.7,13.8,17
0500000US18105,"Monroe County, Indiana",126376,20921,19.4,17,6.9,19.5,19.2
0500000US18109,"Morgan County, Indiana",71390,15727,8.2,9.6,10.3,6.8,9.6
0500000US18127,"Porter County, Indiana",171375,36656,9.1,11.3,7,7.9,10.2
0500000US18141,"St. Joseph County, Indiana",260560,61228,12.7,17.7,9.4,11.7,13.7
0500000US18157,"Tippecanoe County, Indiana",172601,36809,19.7,15.7,5.9,20.2,19.2
0500000US18163,"Vanderburgh County, Indiana",173974,37844,15.6,20.3,10.7,12.2,18.9
0500000US18167,"Vigo County, Indiana",98120,20771,18.3,17.3,16.5,20.6,16.1
0500000US18173,"Warrick County, Indiana",63964,14760,7.8,7,4.2,6.8,8.7
0500000US18177,"Wayne County, Indiana",64886,14801,18.4,25.3,10,17.7,19.1
0500000US19013,"Black Hawk County, Iowa",125028,27232,17.6,24.5,8.8,15.5,19.7
0500000US19049,"Dallas County, Iowa",107264,28334,5.5,6.4,4.7,3.7,7.3
0500000US19061,"Dubuque County, Iowa",94773,21129,11,12.9,6.8,8.7,13.2
0500000US19103,"Johnson County, Iowa",147959,29287,16.1,10.1,3.2,13.4,19
0500000US19113,"Linn County, Iowa",224009,50114,8.8,8.5,8,8.4,9.2
