name,address,city,state,zip,latitude,longitude
VAN NUYS (BALBOA),7220 N. BALBOA,VAN NUYS,CA,91406,34.2018477,-118.5007036528674
CANOGA PARK,6841 N TOPANGA CANYO,CANOGA PARK,CA,91303,NA,NA
NORTHRIDGE (TAMPA AVE.),8830 TAMPA AVE.,NORTHRIDGE,CA,91324,34.2308009,-118.5531249517407
NEWBURY PARK,1550 NEWBURY RD,NEWBURY PARK,CA,91320,34.183654649999994,-118.91460286711713
TORRANCE,20150 HAWTHORNE BLVD,TORRANCE,CA,90503,33.848856049999995,-118.35312639786416
SEAL BEACH,12365 SEAL BEACH BLVD.,SEAL BEACH,CA,90740,33.78221105,-118.07251965
SIGNAL HILL,799 E. SPRING ST.,SIGNAL HILL,CA,90755,33.81204075,-118.1833167790126
ALHAMBRA,1210 N. ATLANTIC BLVD.,ALHAMBRA,CA,91801,34.10604605,-118.1343797044201
BALDWIN PARK,13850 FRANCISQUITO AVE.,BALDWIN PARK,CA,91706,34.06765615,-117.97351000160134
ROSEMEAD,4242 N. ROSEMEAD BL.,ROSEMEAD,CA,91770,NA,NA
TORRANCE (CRENSHAW & LOMITA),24445 CRENSHAW BLVD,TORRANCE,CA,90505,33.80285455,-118.32847860715876
CITY OF INDUSTRY (GRAND & VALLEY),21620 E. VALLEY BLVD,CITY OF INDUSTRY,CA,91789,34.0802396,-118.0889995
DIAMOND BAR,21133 GOLDEN SPRINGS,DIAMOND BAR,CA,91765,33.6437155,-85.7857971
