UID,ENG COMP Placement,Course Preference,Post-AWPE Survey,H/L/A,Unweighted GPA
106174263,2,2,39,A,3.45
6176187,2,2,39,A,3.85
806171336,2,2,39,A,4
806141368,2,2,39,A,4
6253251,2,2,39,A,4
306157050,2,2,39,A,3.9
406213041,2,2,39,A,3.88
906208396,2,2,39,A,3.96
206213061,2,2,39,A,3.66
906273810,2,2,39,A,3.79
306171579,2,2,39,A,3.31
606159477,2,5,39,A,0
206211948,2,5,39,A,4
6251148,2,2,40,A,3.96
806219588,2,2,40,A,3.96
706195880,2,2,40,A,4
806219550,2,2,40,A,4
106198693,2,2,40,A,3.47
306189094,2,2,40,A,4
706141284,2,2,40,A,3.85
206156452,2,2,40,A,3.58
806249420,2,2,40,A,3.96
406223771,2,2,40,A,3.4
106130009,2,2,40,A,3.88
506206709,2,2,40,A,3.81
306223385,2,2,40,A,4
506291279,2,2,40,A,4
506319674,2,2,40,A,3.78
206252284,2,2,41,A,3.62
106122071,2,2,41,A,3.6
706130563,2,2,41,A,3.9
606236230,2,2,41,A,4
906251276,2,2,41,A,3.7
206246900,2,2,41,A,3.95
406187551,2,2,41,A,4
6248815,2,2,41,A,3.7
106186237,2,5,41,A,4
406192680,2,2,42,A,4
6270255,2,2,42,A,3.5
406141148,2,2,42,A,3.5
506210080,2,2,42,A,3.93
506139060,2,2,42,A,3.79
906162534,2,2,42,A,3.91
706121785,2,2,42,A,3.43
906190551,2,2,42,A,3.37
906188666,2,2,42,A,3.44
506164813,2,2,42,A,4
906125495,2,2,43,A,3.92
606122115,2,2,43,A,3.95
206099329,2,2,43,A,3.85
206195670,2,2,43,A,3.92
106167012,2,2,43,A,3.87
6130769,2,2,43,A,3.89
6109466,2,2,43,A,3.93
306145477,2,2,43,A,3.4
706134603,2,2,43,A,4
206129637,2,2,43,A,4
906010654,2,2,43,A,2.92
706214256,2,2,44,A,3.82
6204265,2,2,44,A,3.96
606097917,2,2,44,A,3.37
206277232,2,2,44,A,3.41
906190396,2,2,44,A,3.82
706158854,2,2,44,A,4
806195653,2,2,44,A,3.95
506225166,2,2,44,A,3.78
806193866,2,2,45,A,2.57
506187230,2,2,45,A,4
606155083,2,2,46,A,4
6198537,2,2,47,A,4
406132337,2,2,47,A,3.9
406237377,2,2,47,A,3.95
6199805,2,3,29,H,3.81
406189102,2,3,31,H,3.96
106195492,2,3,31,H,4
606234288,2,3,32,H,3.77
705811393,2,3,32,H,3.82
206139250,2,3,32,H,3.95
506226665,2,3,32,H,3.95
606154776,2,3,32,H,4
706273694,2,3,32,H,3.75
106190767,2,3,33,H,3.97
306013641,2,3,33,H,4
506215431,2,3,33,H,3.31
606269174,2,3,34,H,3.78
906145163,2,3,34,H,4
105868293,2,3,34,H,2.7
506127991,2,3,34,H,4
706186512,2,3,34,H,0
806254666,2,3,34,H,3.91
506153918,2,3,34,H,3.4
706095687,2,3,34,H,4
106247580,2,3,34,H,3.64
106193105,2,3,34,H,3.95
406188414,2,3,34,H,3.92
706189389,2,3,34,H,3.78
6199400,2,3,35,H,3.86
206248206,2,3,35,H,3.95
306154339,2,3,35,H,3.84
706242400,2,3,35,H,3.96
806123449,2,3,35,H,3.66
506220362,2,3,35,H,3.85
806205746,2,3,35,H,4
706324580,2,3,35,H,3.44
706250541,2,3,35,H,4
206166984,2,3,36,H,3.5
406219788,2,3,36,H,3.84
6209786,2,3,36,H,3.96
806101923,2,3,36,H,3.5
206188467,2,3,36,H,3.91
606160150,2,3,36,H,3.58
206135068,2,3,36,H,3.87
706175373,2,3,36,H,4
706220361,2,3,36,H,3.83
506245353,2,3,37,H,3.92
706220101,2,3,37,H,3.68
706249798,2,3,37,H,3.9
106192101,2,3,37,H,3.46
906218461,2,3,37,H,4
106248099,2,3,37,H,4
6165952,2,3,38,H,4
606137230,2,3,38,H,4
306206084,2,3,38,H,3.78
206129741,2,3,38,H,3.82
906246497,2,3,38,H,3.8
106190437,2,3,38,H,3.91
6198740,2,3,38,H,3.96
206252236,2,3,38,H,3.58
6263523,2,3,38,H,3.96
6195341,2,3,38,H,3.97
106129826,2,3,39,H,4
706187291,2,3,39,H,4
6227851,2,3,39,H,3.96
606205592,2,3,39,H,3.95
